,CARRIER,CARRIER_NAME,CNAME
1561,TFQ,Trans International Airlines Inc. (1984 - 1989),Trans International Airlines Inc.   
1562,TFZ,Tri-State Airlines Inc. (1983 - 2002),TriState Airlines Inc.   
1563,TG,Thai Airways International Ltd. (1981 - ),Thai Airways International Ltd.   
1564,TGO,Trans Air Cargo Inc. (1981 - 2002),Trans Air Cargo Inc.   
1565,TGQ,Tranps Aereos Guatemaltecos (1992 - 1994),Tranps Aereos Guatemaltecos   
1566,TH,Transmile Air Service (2005 - ),Transmile Air Service   
1567,THA,Tropical Helicopter Airways (1987 - 2002),Tropical Helicopter Airways   
1568,THO,Thorson Aviation (1960 - 2002),Thorson Aviation   
1569,THQ,T-Bird Air Inc. (1981 - 1984),TBird Air Inc.   
1570,TIA,Trans Air Inc. (1960 - 2002),Trans Air Inc.   
1571,TIE,Trans International Express (1999 - 2002),Trans International Express   
1572,TIQ,Tyrolean Jet Service (2005 - ),Tyrolean Jet Service   
1573,TIS,Skyfreight (1960 - 2002),Skyfreight   
1574,TJ,Jet Charter Service Inc. (1982 - 1985),Jet Charter Service Inc.   
1575,TK,Turk Hava Yollari A.O. (1987 - ),Turk Hava Yollari A.O.   
1576,TKQ,Trans-Air-Link Corporation (1983 - 2004),TransAirLink Corporation   
1577,TLQ,Trans-Mediterranean Airways (1981 - 1989),TransMediterranean Airways   
1578,TMA,Trans Mo Airlines (1960 - 2002),Trans Mo Airlines   
1579,TMQ,Transportes Aereos Mercantiles Panamericanos S.A (1981 - 1990),Transportes Aereos Mercantiles Panamericanos S.A   
1580,TN,Air Tahiti Nui (1998 - ),Air Tahiti Nui   
