,CARRIER,CARRIER_NAME,CNAME
1121,NAP,Npa Inc. (1987 - 2002),Npa Inc.   
1122,NAQ,Nationair (1987 - 1993),Nationair   
1123,NAS,Nasville Eagle (1988 - 1998),Nasville Eagle   
1124,NAT,National Air (1985 - 2002),National Air   
1125,NB,Sterling Cargo (1999 - 2000),Sterling Cargo   
1126,NBQ,Sterling Airways A/S (1981 - 1993),Sterling Airways AS   
1127,NC,Northern Air Cargo Inc. (1996 - ),Northern Air Cargo Inc.   
1128,NCA,National Commuter Airlines (1983 - 2002),National Commuter Airlines   
1129,NCE,Northcoast Executive (1990 - 2002),Northcoast Executive   
1130,NCP,Colgan Air (1991 - 2002),Colgan Air   
1131,ND,Intair (1981 - 1991),Intair   
1132,NEB,New Born Wings Inc. (1960 - 2002),New Born Wings Inc.   
1133,NEC,Nor East Commuter Airlines (1960 - 2002),Nor East Commuter Airlines   
1134,NEQ,North East Cargo Airlines (1996 - 1997),North East Cargo Airlines   
1135,NER,Northeast Express Regional (1990 - 1995),Northeast Express Regional   
1136,NET,Nacnet (1997 - 2000),Nacnet   
1137,NEV,Nevada Airlines (1960 - 2002),Nevada Airlines   
1138,NEW,New England Airlines Inc. (1960 - ),New England Airlines Inc.   
1139,NEX,Northeast Express Regional (1992 - 1995),Northeast Express Regional   
1140,NFA,National Florida Airlines (1981 - 2002),National Florida Airlines   
1141,NFQ,North Cariboo Flying Serv. (1981 - 1989),North Cariboo Flying Serv.   
1142,NG,Lauda Air Luftfahrt Ag (1991 - 2001),Lauda Air Luftfahrt Ag   
1143,NGL,Northern Eagle Airways Inc. (1960 - 2002),Northern Eagle Airways Inc.   
1144,NH,All Nippon Airways Co. (1986 - ),All Nippon Airways Co.   
1145,NHA,Newair Flight Inc. (1960 - 2002),Newair Flight Inc.   
1146,NI,American International Airways Inc. (1982 - 1984),American International Airways Inc.   
1147,NI,Lanica (1981 - 1989),Lanica   
1148,NJ,Vanguard Airlines Inc. (1994 - 2002),Vanguard Airlines Inc.   
1149,NJA,N. J. Merrimack Airlines (1960 - 2002),N. J. Merrimack Airlines   
1150,NJE,"NetJets Transportes Aereos, S.A. (2006 - )","NetJets Transportes Aereos, S.A.   "
1151,NK,Spirit Air Lines (1992 - ),Spirit Air Lines   
1152,NKQ,Norcanair (1981 - 1989),Norcanair   
1153,NLQ,Nolinor Aviation (2003 - ),Nolinor Aviation   
1154,NN,Northward Airlines Ltd. (1981 - 1989),Northward Airlines Ltd.   
1155,NOQ,Novair Airlines Ab (1999 - 1999),Novair Airlines Ab   
1156,NPA,North Pacific Airlines Inc. (1985 - 1985),North Pacific Airlines Inc.   
1157,NPT,E. J. A. Newport Inc. (1960 - 2002),E. J. A. Newport Inc.   
1158,NQ,Air Japan Co (2001 - ),Air Japan Co   
1159,NRN,Northern Airlines Inc. (1982 - 2002),Northern Airlines Inc.   
1160,NSQ,North Coast Air Services (1981 - 1989),North Coast Air Services   
1161,NTH,Northaire (1960 - 2002),Northaire   
1162,NTQ,National Aviation Consult. (1981 - 1989),National Aviation Consult.   
1163,NTX,Grand Airways Inc. (1989 - 1994),Grand Airways Inc.   
1164,NUM,Lake State Airways (1960 - 2002),Lake State Airways   
1165,NUQ,Air Niugini (1981 - 1989),Air Niugini   
1166,NVQ,Novair International Airways Ltd. (1990 - 1990),Novair International Airways Ltd.   
1167,NVX,Nevis Express (1999 - 2004),Nevis Express   
1168,NW,Northwest Airlines Inc. (1960 - 2009),Northwest Airlines Inc.   
1169,NWQ,N. W. Territorial Airways (1981 - ),N. W. Territorial Airways   
1170,NWS,Northwest Seaplanes (1993 - 2005),Northwest Seaplanes   
1171,NXQ,North Vancouver Air (2002 - 2003),North Vancouver Air   
1172,NY,New York Air Inc. (1980 - 1986),New York Air Inc.   
1173,NYH,New York Helicopter Corp. (1960 - 2002),New York Helicopter Corp.   
1174,NZ,Air New Zealand (1990 - ),Air New Zealand   
1175,O6,Oceanair Linhas Aereas S A (2015 - ),Oceanair Linhas Aereas S A   
1176,OA,Olympic Airways (1981 - 2009),Olympic Airways   
1177,OAK,Harbor Airlines Inc. (1960 - 2002),Harbor Airlines Inc.   
1178,OAS,Olson Air Service (1987 - 2003),Olson Air Service   
1179,OB,Oasis International Airlines S.A. (1993 - 1996),Oasis International Airlines S.A.   
1180,OC,Air California Inc. (1979 - 1987),Air California Inc.   
1181,OCR,Ocean Reef Airways Inc. (1960 - 2002),Ocean Reef Airways Inc.   
1182,OD,Aerocondor (1981 - 1989),Aerocondor   
1183,OD,Emerald Airlines Inc. (1982 - 1991),Emerald Airlines Inc.   
1184,OE,Westair Airlines Inc. (1988 - 1993),Westair Airlines Inc.   
1185,OF,Air Finland Ltd. (2007 - ),Air Finland Ltd.   
1186,OFF,Offshore Logistics (1960 - 2002),Offshore Logistics   
1187,OG,Air Guadeloupe (1991 - 1993),Air Guadeloupe   
1188,OGZ,Flying Boat Inc. (1960 - 2002),Flying Boat Inc.   
1189,OH,Comair Inc. (2000 - 2012),Comair Inc.   
1190,OH,PSA Airlines Inc. (2015 - ),PSA Airlines Inc.   
1191,OHA,Omaha Aviation (1960 - 2002),Omaha Aviation   
1192,OHZ,Caribbean Air Services Inc. (1960 - 1986),Caribbean Air Services Inc.   
1193,OI,Paradise Airways (1995 - 1996),Paradise Airways   
1194,OI,Prestige Airways (1996 - 1997),Prestige Airways   
1195,OIZ,Corporate Air Inc. (1960 - 2002),Corporate Air Inc.   
1196,OJ,Fly Jamaica Airways Limited (2012 - ),Fly Jamaica Airways Limited   
1197,OK,Czechoslovak Airlines (1981 - 1999),Czechoslovak Airlines   
1198,OK,Czech Airlines (1999 - ),Czech Airlines   
1199,OMH,Omniflight Helicopters (1986 - 2002),Omniflight Helicopters   
1200,OMI,Omniflight Airways (1985 - 2002),Omniflight Airways   
1201,OMK,Omak Aviation Airlines (1960 - 2002),Omak Aviation Airlines   
1202,OMN,Omni Pacific Airline (1960 - 2002),Omni Pacific Airline   
1203,OMQ,Quassar De Mexico (1993 - 1995),Quassar De Mexico   
1204,ON,Air Nauru (1981 - 2001),Air Nauru   
1205,ONQ,Nunasi-Central Airlines Ltd. (1981 - 1989),NunasiCentral Airlines Ltd.   
1206,OO,SkyWest Airlines Inc. (2003 - ),SkyWest Airlines Inc.   
1207,OOZ,Sun Aire Lines (1960 - 2002),Sun Aire Lines   
1208,OP,Air Panama Internacional (1981 - 1994),Air Panama Internacional   
1209,OP,Flying Boat Inc. (2002 - 2005),Flying Boat Inc.   
1210,OP,Pan American World Airways (1996 - 1997),Pan American World Airways   
1211,OPQ,Orion Air (1987 - 1989),Orion Air   
1212,OQ,Royale Airlines Inc. (1984 - 1984),Royale Airlines Inc.   
1213,OR,TUI Airlines Nederland B.V. (2006 - ),TUI Airlines Nederland B.V.   
1214,ORI,Orion Air Inc. (1960 - 1991),Orion Air Inc.   
1215,OS,Austrian Airlines (1989 - ),Austrian Airlines   
1216,OTT,Otter Air (1985 - 2002),Otter Air   
1217,OV,Aeromaritime (1991 - 1991),Aeromaritime   
1218,OW,Executive Airlines (1999 - 2013),Executive Airlines   
1219,OWQ,Ontario Worldair Limited (1981 - 1989),Ontario Worldair Limited   
1220,OWS,Air Kentucky Air Lines (1960 - 2002),Air Kentucky Air Lines   
